date;sentiment_score_mean_day
2008-05-18;-0.0036968401486988834
2008-05-19;0.10739696732026144
2008-05-20;0.09990332635496627
2008-05-21;0.08586671798819605
2008-05-22;0.08435770519262982
2008-05-23;0.05869430297798878
2008-05-24;-0.05548771929824562
2008-05-25;-0.03520953545232274
2008-05-26;0.0016473972602739722
2008-05-27;0.10134395761741123
2008-05-28;0.10825037473233405
2008-05-29;0.08803542053595118
2008-05-30;0.0648395225464191
2008-05-31;-0.0477443956043956
2008-06-01;-0.040804761904761906
2008-06-02;0.09959159212880143
2008-06-03;0.10199828874427573
2008-06-04;0.09104235033259424
2008-06-05;0.09199151773049646
2008-06-06;0.053314809329877824
2008-06-07;-0.015799999999999998
2008-06-08;-0.04423026315789474
2008-06-09;0.09586787593464415
2008-06-10;0.099329376062151
2008-06-11;0.08875055089192024
